trial	ptIdx	percentValid	centX	centY	centDist	centAngle	RMS	subj	glasses	dist	offset
1	15	1.9830	872.5130	456.4240	0.6830	408.0410	0.1130	101	Pupil Labs	1M	0deg
2	21	1.9920	178.4140	736.6650	1.1350	443.0710	0.0740	101	Pupil Labs	1M	0deg
3	3	1.9830	529.4830	128.2520	0.5640	412.4940	0.1140	101	Pupil Labs	1M	0deg
4	13	1.9750	537.0170	401.5700	1.2260	429.3900	0.1230	101	Pupil Labs	1M	0deg
5	25	1.9830	862.0710	709.5130	1.4810	436.9330	0.0870	101	Pupil Labs	1M	0deg
6	5	1.9830	871.8070	74.8990	1.1600	427.2540	0.0870	101	Pupil Labs	1M	0deg
7	1	1.9830	183.3950	78.2560	1.0490	439.2860	0.0850	101	Pupil Labs	1M	0deg
8	23	1.9920	500.6110	682.5100	1.7580	449.7680	0.0800	101	Pupil Labs	1M	0deg
9	11	1.9830	146.5550	442.0420	0.7150	469.1370	0.2030	101	Pupil Labs	1M	0deg
1	25	1.9830	838.9200	755.5000	0.9090	445.8940	0.1520	101	Pupil Labs	1M	10Ldeg
2	21	1.9830	86.1510	839.9330	0.9420	184.6860	0.1810	101	Pupil Labs	1M	10Ldeg
3	13	1.9830	491.9870	466.3870	0.4030	463.4080	0.0870	101	Pupil Labs	1M	10Ldeg
4	5	1.9830	879.0630	22.8400	1.7590	432.3620	0.1550	101	Pupil Labs	1M	10Ldeg
5	3	1.9830	472.9450	26.7860	1.6610	460.9470	0.1880	101	Pupil Labs	1M	10Ldeg
6	23	1.9830	467.6430	837.5040	0.3800	187.3450	0.1410	101	Pupil Labs	1M	10Ldeg
7	15	1.9830	905.0670	431.8400	1.1530	403.5360	0.1980	101	Pupil Labs	1M	10Ldeg
8	11	1.9830	24.3400	475.3990	1.6830	530.1930	0.1570	101	Pupil Labs	1M	10Ldeg
9	1	1.9830	-13.2730	48.5760	2.5090	506.7240	0.1750	101	Pupil Labs	1M	10Ldeg
