RMS	centAngle	centDist	centX	centY	percentValid	ptIdx	condition	subj	offset
0.67	271.72	1.65	341.60	1108.90	1.00	22	e_0deg	e	0deg
0.42	295.66	2.22	660.21	833.53	0.94	13	e_0deg	e	0deg
0.58	285.25	2.71	785.50	602.52	0.96	4	e_0deg	e	0deg
0.61	313.76	2.34	436.32	614.94	1.00	6	e_0deg	e	0deg
0.16	284.53	2.58	274.73	1083.69	0.98	16	e_0deg	e	0deg
1.33	276.02	2.18	704.70	860.77	0.94	14	e_0deg	e	0deg
0.24	289.39	2.19	621.21	1011.06	0.96	18	e_0deg	e	0deg
0.86	271.36	2.56	843.45	759.27	0.98	10	e_0deg	e	0deg
0.36	283.35	2.79	607.45	785.96	0.94	8	e_0deg	e	0deg
0.09	277.92	3.09	904.27	676.55	0.98	5	e_0deg	e	0deg
0.48	291.90	2.42	316.88	1207.08	0.98	21	e_0deg	e	0deg
0.57	294.99	2.84	533.04	928.53	0.98	12	e_0deg	e	0deg
0.56	284.13	2.80	447.28	786.09	0.94	7	e_0deg	e	0deg
0.82	342.46	2.91	629.72	646.38	1.00	11	e_0deg	e	0deg
1.08	277.88	1.85	708.94	1138.62	0.94	24	e_0deg	e	0deg
0.17	294.62	3.46	406.84	690.82	0.98	1	e_0deg	e	0deg
0.20	286.90	2.41	783.46	1051.12	0.96	19	e_0deg	e	0deg
0.80	286.97	3.23	823.79	848.21	0.96	9	e_0deg	e	0deg
0.24	276.85	2.75	888.00	955.23	0.96	15	e_0deg	e	0deg
0.38	286.55	2.01	595.44	1154.48	1.00	23	e_0deg	e	0deg
1.10	284.78	3.34	475.49	705.33	0.98	2	e_0deg	e	0deg
0.94	285.23	2.07	923.78	1165.58	1.00	25	e_0deg	e	0deg
0.35	281.93	3.47	619.56	732.77	0.96	3	e_0deg	e	0deg
1.00	287.25	2.54	458.70	1070.46	0.92	17	e_0deg	e	0deg
0.68	286.91	2.56	957.55	1075.32	0.94	20	e_0deg	e	0deg
1.58	266.28	1.97	478.71	494.19	0.96	3	e_5deg_L	e	5deg_L
1.29	265.68	1.88	809.68	479.63	0.82	5	e_5deg_L	e	5deg_L
0.54	411.50	0.85	587.88	556.21	0.96	18	e_5deg_L	e	5deg_L
0.46	414.38	0.75	405.96	731.98	0.98	22	e_5deg_L	e	5deg_L
1.88	262.84	2.79	608.74	627.98	1.00	4	e_5deg_L	e	5deg_L
0.54	280.64	1.38	709.30	560.18	1.00	9	e_5deg_L	e	5deg_L
0.87	289.79	1.45	248.41	393.85	0.92	1	e_5deg_L	e	5deg_L
0.46	306.09	0.80	578.06	440.43	0.98	8	e_5deg_L	e	5deg_L
0.45	292.27	1.47	425.96	392.83	0.92	2	e_5deg_L	e	5deg_L
0.41	447.09	0.16	667.98	807.53	0.98	24	e_5deg_L	e	5deg_L
1.34	274.66	0.54	840.66	589.86	0.88	15	e_5deg_L	e	5deg_L
0.44	310.39	0.55	559.80	570.30	1.00	13	e_5deg_L	e	5deg_L
0.60	344.96	0.65	438.67	694.98	0.98	17	e_5deg_L	e	5deg_L
0.67	274.81	0.49	840.19	914.83	0.96	25	e_5deg_L	e	5deg_L
0.29	313.52	0.57	731.57	735.02	0.94	19	e_5deg_L	e	5deg_L
0.70	372.29	0.53	586.88	814.41	0.98	23	e_5deg_L	e	5deg_L
0.14	306.30	0.75	407.13	600.47	0.94	12	e_5deg_L	e	5deg_L
0.80	281.29	0.82	693.48	634.26	1.00	14	e_5deg_L	e	5deg_L
0.54	296.98	0.99	241.23	646.44	0.96	11	e_5deg_L	e	5deg_L
0.75	278.19	0.76	851.43	792.33	0.98	20	e_5deg_L	e	5deg_L
0.66	296.66	1.36	435.28	536.38	1.00	7	e_5deg_L	e	5deg_L
0.17	401.52	0.36	212.00	793.20	1.00	21	e_5deg_L	e	5deg_L
0.67	322.70	1.16	320.89	450.81	0.94	6	e_5deg_L	e	5deg_L
1.46	370.50	1.45	404.36	622.60	0.94	16	e_5deg_L	e	5deg_L
1.23	264.73	1.14	815.96	521.69	0.98	10	e_5deg_L	e	5deg_L
0.22	278.09	2.92	401.76	814.78	0.90	7	e_5deg_R	e	5deg_R
0.38	287.76	2.06	271.32	1160.12	1.00	21	e_5deg_R	e	5deg_R
0.36	282.66	2.33	751.60	1044.78	1.00	19	e_5deg_R	e	5deg_R
0.48	275.42	2.20	868.00	1198.52	1.00	25	e_5deg_R	e	5deg_R
0.45	294.19	2.41	831.06	1199.36	0.94	24	e_5deg_R	e	5deg_R
0.22	277.42	3.16	901.35	688.65	0.98	5	e_5deg_R	e	5deg_R
0.30	281.18	2.67	919.53	1102.90	0.98	20	e_5deg_R	e	5deg_R
1.18	291.84	1.63	601.08	1085.49	0.98	23	e_5deg_R	e	5deg_R
0.50	283.42	2.58	933.24	918.68	1.00	15	e_5deg_R	e	5deg_R
0.20	282.42	2.87	269.64	1134.38	1.00	16	e_5deg_R	e	5deg_R
0.37	281.66	3.04	769.15	830.05	0.82	9	e_5deg_R	e	5deg_R
0.20	288.22	2.52	964.48	731.78	1.00	10	e_5deg_R	e	5deg_R
0.45	286.05	2.03	593.43	991.35	0.92	18	e_5deg_R	e	5deg_R
0.31	278.65	3.54	255.43	917.04	0.94	6	e_5deg_R	e	5deg_R
0.82	279.02	3.74	597.65	781.57	0.92	3	e_5deg_R	e	5deg_R
0.19	278.08	3.53	416.00	749.25	0.96	2	e_5deg_R	e	5deg_R
1.01	281.94	3.04	438.18	995.70	1.00	12	e_5deg_R	e	5deg_R
0.16	280.71	2.83	254.24	963.02	1.00	11	e_5deg_R	e	5deg_R
0.19	279.26	2.97	579.82	822.63	0.98	8	e_5deg_R	e	5deg_R
0.33	277.73	2.83	396.84	1134.69	0.98	17	e_5deg_R	e	5deg_R
0.58	280.09	2.65	577.31	934.63	0.98	13	e_5deg_R	e	5deg_R
0.20	279.15	2.84	742.04	967.85	0.96	14	e_5deg_R	e	5deg_R
1.14	298.95	2.23	513.23	1158.49	0.94	22	e_5deg_R	e	5deg_R
1.37	268.91	3.45	655.75	740.90	0.80	4	e_5deg_R	e	5deg_R
0.66	282.58	3.54	295.28	743.02	1.00	1	e_5deg_R	e	5deg_R
3.26	186.21	2.75	-289.50	883.00	0.04	21	e_10deg_L	e	10deg_L
